client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
39cf057ac4683c690dd4b22ff21ff4b09cc93afae37f4f1152e756665df5adfc128e45a34b3c6b67d359b8a6fcdf7d7bdd356ad9119ab3f6117bfdd0b681c3ad	common_voice_cs_38856841.mp3	ne	4	0			Američan,Americký		cs	Benchmark
39cf057ac4683c690dd4b22ff21ff4b09cc93afae37f4f1152e756665df5adfc128e45a34b3c6b67d359b8a6fcdf7d7bdd356ad9119ab3f6117bfdd0b681c3ad	common_voice_cs_38856842.mp3	pět	4	2			Američan,Americký		cs	Benchmark
39cf057ac4683c690dd4b22ff21ff4b09cc93afae37f4f1152e756665df5adfc128e45a34b3c6b67d359b8a6fcdf7d7bdd356ad9119ab3f6117bfdd0b681c3ad	common_voice_cs_38856844.mp3	čtyři	4	0			Američan,Americký		cs	Benchmark
39cf057ac4683c690dd4b22ff21ff4b09cc93afae37f4f1152e756665df5adfc128e45a34b3c6b67d359b8a6fcdf7d7bdd356ad9119ab3f6117bfdd0b681c3ad	common_voice_cs_38856845.mp3	dva	4	2			Američan,Americký		cs	Benchmark
6d229720ac6a18bc5961dbe56f07d757d3625040809f6f4e02f989ceab08dc7d338232fbd3b3ef18e696bbeca41a2a91be540de66ef9550b417dbb9e1f0ce86f	common_voice_cs_38894967.mp3	tři	2	0			kámo nevim, normální českej		cs	Benchmark
6d229720ac6a18bc5961dbe56f07d757d3625040809f6f4e02f989ceab08dc7d338232fbd3b3ef18e696bbeca41a2a91be540de66ef9550b417dbb9e1f0ce86f	common_voice_cs_38894968.mp3	čtyři	2	0			kámo nevim, normální českej		cs	Benchmark
6d229720ac6a18bc5961dbe56f07d757d3625040809f6f4e02f989ceab08dc7d338232fbd3b3ef18e696bbeca41a2a91be540de66ef9550b417dbb9e1f0ce86f	common_voice_cs_38894969.mp3	devět	2	1			kámo nevim, normální českej		cs	Benchmark
6d229720ac6a18bc5961dbe56f07d757d3625040809f6f4e02f989ceab08dc7d338232fbd3b3ef18e696bbeca41a2a91be540de66ef9550b417dbb9e1f0ce86f	common_voice_cs_38894970.mp3	šest	2	0			kámo nevim, normální českej		cs	Benchmark
a86f5e91c9dc79f2f9f5878b6e42d6ccd64ab1e9c6fb9c2c2c0bdf980ad0ab9650e99dafa51dc8b2bae440832b0e00a52d2cc54738348bbff92b45ec21986a3d	common_voice_cs_39580439.mp3	jedna	2	1					cs	Benchmark
a86f5e91c9dc79f2f9f5878b6e42d6ccd64ab1e9c6fb9c2c2c0bdf980ad0ab9650e99dafa51dc8b2bae440832b0e00a52d2cc54738348bbff92b45ec21986a3d	common_voice_cs_39580440.mp3	devět	2	1					cs	Benchmark
